Saved Metrics:
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


ticker,itteration,elapsed time,training performance
,,,val_loss,val_out_reg_loss,val_out_cat_loss,val_out_reg_mse,val_out_reg_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_reg_loss,out_cat_loss,out_reg_mse,out_reg_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,
BMY,1,0:14:48.344775,3.6725407527585334,0.21215136349201202,0.6922323107719421,0.2115301638841629,63.7025260925293,0.5763546824455261,0.5763546824455261,585.0,585.0,430.0,430.0,3.48818474480835,0.050708603,0.6875063,0.050713792,158.00903,0.5613313,0.5577729,2264.0,2264.0,1795.0,1795.0,
BP,1,0:15:02.488774,3.558955354643573,0.1111917719244957,0.689530074596405,0.11213568598031998,43.86772155761719,0.5477832555770874,0.5477832555770874,556.0,556.0,459.0,459.0,3.5028736854486495,0.039596744,0.6925982,0.039589144,79.16803,0.53076684,0.5210643,2115.0,2115.0,1944.0,1944.0,
BX,1,0:15:11.710774,3.3346567732029597,0.04906874895095825,0.6580444574356079,0.048109617084264755,61.7321891784668,0.660855770111084,0.660855770111084,417.0,417.0,214.0,214.0,3.476250366894347,0.010784374,0.69305867,0.010795991,191.60152,0.52182937,0.5196195,1311.0,1311.0,1212.0,1212.0,
CSCO,1,0:15:26.421774,3.4414489433683197,0.1554373800754547,0.6570656895637512,0.1547592282295227,59.67594528198242,0.7093596458435059,0.7093595862388611,720.0,720.0,295.0,295.0,3.482027259769332,0.015544161,0.6932978,0.015542311,53.137085,0.5230086,0.51933974,2108.0,2108.0,1951.0,1951.0,
CVX,1,0:15:40.611774,3.580489207488563,0.2693404257297516,0.6625884175300598,0.27023395895957947,60.34368896484375,0.626600980758667,0.626600980758667,636.0,636.0,379.0,379.0,3.457199405231744,0.059197776,0.6795949,0.059202928,313.26968,0.58434284,0.58536583,2376.0,2376.0,1683.0,1683.0,
DAL,1,0:15:50.093773,3.738595538752206,0.2916364073753357,0.6892469525337219,0.2924414277076721,62.6563720703125,0.5517241358757019,0.5517241358757019,352.0,352.0,286.0,286.0,3.5306685022259168,0.06935388,0.69232285,0.06941346,196.13043,0.538913,0.5448844,1390.0,1390.0,1161.0,1161.0,
DD,1,0:16:03.971774,3.574453395928068,0.14160579442977905,0.6858378648757935,0.14270085096359253,61.95122528076172,0.5596058964729309,0.5596058964729309,568.0,568.0,447.0,447.0,3.5007965323313552,0.031695113,0.693848,0.0316946,121.765175,0.5270881,0.51416606,2087.0,2087.0,1972.0,1972.0,
DIS,1,0:16:18.019774,3.557177741891645,0.14713655412197113,0.6823025941848755,0.14695599675178528,71.33854675292969,0.5743842124938965,0.5743842124938965,583.0,583.0,432.0,432.0,3.4540061761546412,0.01920781,0.6870489,0.019208852,189.24649,0.56172794,0.5698448,2313.0,2313.0,1746.0,1746.0,
EBAY,1,0:16:32.944192,3.537083638008005,0.08104103058576584,0.6913565397262573,0.07974325120449066,63.225982666015625,0.5615763664245605,0.5615763664245605,570.0,570.0,445.0,445.0,3.488326517106512,0.0073228884,0.69619197,0.007324333,118.4933,0.5107409,0.49913773,2026.0,2026.0,2033.0,2033.0,
FB,1,0:16:38.598192,3.1649877031644187,0.0507369190454483,0.6228501200675964,0.0507369190454483,44.79056167602539,0.71875,0.71875,276.0,276.0,108.0,108.0,3.2629104114714123,0.020542739,0.64841264,0.02054321,149.43947,0.6618928,0.6614481,1014.0,1014.0,519.0,519.0,
GE,1,0:16:53.497192,3.5311663897753935,0.08832447975873947,0.6887823343276978,0.08741136640310287,131.9084014892578,0.5832512378692627,0.5832512378692627,592.0,592.0,423.0,423.0,3.5145485674873833,0.0349371,0.6959289,0.03492656,43.836452,0.49558735,0.49396402,2005.0,2005.0,2054.0,2054.0,
GPRO,1,0:16:57.608192,3.4795490649106693,0.00971595011651516,0.6937487125396729,0.009749448858201504,3724.402099609375,0.4460431933403015,0.4460431635379791,124.0,124.0,154.0,154.0,3.5325261321183694,0.05186777,0.69615144,0.051888436,215.66335,0.4940157,0.50315034,559.0,559.0,552.0,552.0,
HD,1,0:17:11.054855,3.578189349526842,0.15751206874847412,0.6843985915184021,0.1557481735944748,78.76358795166016,0.5793103575706482,0.5793103575706482,588.0,588.0,427.0,427.0,3.4452660387447533,0.0065408694,0.6877505,0.0065432386,158.50853,0.5568077,0.5560483,2257.0,2257.0,1802.0,1802.0,
INTC,1,0:17:25.284856,3.710345411300659,0.20560675859451294,0.7013192176818848,0.20325446128845215,70.19861602783203,0.34384238719940186,0.34384235739707947,349.0,349.0,666.0,666.0,3.483266343739151,0.010795638,0.6944873,0.010791438,99.38873,0.50514245,0.5080069,2062.0,2062.0,1997.0,1997.0,
JD,1,0:17:29.933855,3.214601648991184,0.01685275323688984,0.6383800506591797,0.015454304404556751,33.5993537902832,0.7173144817352295,0.7173144817352295,203.0,203.0,80.0,80.0,3.4275428278256306,0.006451584,0.6852267,0.006452663,211.1329,0.5714277,0.5707965,645.0,645.0,485.0,485.0,
JPM,1,0:17:44.170855,3.668285990935828,0.1779065579175949,0.6980476975440979,0.17779318988323212,75.15531158447266,0.4177339971065521,0.4177339971065521,424.0,424.0,591.0,591.0,3.479973975294592,0.0046637766,0.6950645,0.0046659485,92.11912,0.5237307,0.51490515,2090.0,2090.0,1969.0,1969.0,
KHC,1,0:17:47.789855,3.7724160339338666,0.31330740451812744,0.6951618790626526,0.32105275988578796,2595.857177734375,0.5462555289268494,0.5462555289268494,124.0,124.0,103.0,103.0,3.572712272570278,0.10443814,0.6942253,0.10502596,71.32194,0.49622175,0.49944752,452.0,452.0,453.0,453.0,
KO,1,0:18:02.321855,3.618905448208889,0.23012062907218933,0.677995502948761,0.2297738939523697,68.2259521484375,0.6522167325019836,0.6522167325019836,662.0,662.0,353.0,353.0,3.4614393938407138,0.03789757,0.6847094,0.037915487,267.58005,0.56895936,0.5723084,2323.0,2323.0,1736.0,1736.0,
KR,1,0:18:16.222717,3.6132308281113947,0.15400806069374084,0.6923206448554993,0.15291540324687958,67.26608276367188,0.5389162302017212,0.5389162302017212,547.0,547.0,468.0,468.0,3.467347698747363,0.03866743,0.6857419,0.038648427,114.79643,0.5594005,0.5698448,2313.0,2313.0,1746.0,1746.0,
