Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
SBUX,0,2022-06-11 14:20:36.814128,0.8582792345261732,0.04450920596718788,0.04577115178108215,0.04824463650584221,0.04883623495697975,0.024867692962288857,0.6447020173072815,0.0445292629301548,36021.05859375,0.04581081122159958,46.619022369384766,0.04826659709215164,15788.0029296875,0.04887939617037773,103.79854583740234,0.024975048378109932,191.40554809570312,0.4802062213420868,0.3526490032672882,6118.0,76.0,2711.0,155.0,0.8456036651018753,0.03279028,0.033523012,0.034498625,0.035316497,0.03475455,0.67473197,0.032788493,96943.12,0.03352049,22144.617,0.034497406,82339.03,0.035314344,5650.6226,0.034752194,423.67975,0.578057,0.4046886,35696.0,952.0,25896.0,801.0,1e-04
SLB,0,2022-06-11 14:21:45.132394,0.9864608175707179,0.05875284597277641,0.06493383646011353,0.05940595269203186,0.0658496841788292,0.038392532616853714,0.6975558996200562,0.059006545692682266,369606.1875,0.06523128598928452,66047.453125,0.059658702462911606,27823.486328125,0.06614118814468384,39026.17578125,0.03856359422206879,115.3558578491211,0.5316986441612244,0.24006623029708862,3888.0,496.0,4415.0,261.0,0.9022176850471569,0.039615553,0.040805906,0.042326115,0.043472726,0.04694476,0.6890467,0.039615475,48018.188,0.040805317,123.95104,0.04232614,9280.007,0.043472163,8886.869,0.0469481,140.65944,0.52377945,0.32417712,31888.0,2565.0,26640.0,2252.0,1e-04
T,0,2022-06-11 14:22:53.035700,0.929626304187522,0.04740564897656441,0.04734067991375923,0.051938075572252274,0.05189824849367142,0.04178902879357338,0.6875986456871033,0.04756372049450874,62307.89453125,0.04751179367303848,137.12110900878906,0.05211601406335831,148.78384399414062,0.052089493721723557,130.7574005126953,0.042001958936452866,134.8375244140625,0.47452080249786377,0.319536417722702,4844.0,187.0,3758.0,271.0,0.8880429421023343,0.038859732,0.04077374,0.04072705,0.041606843,0.041354954,0.6847157,0.038859986,9652.844,0.0407741,102.905014,0.040727247,8858.097,0.041607056,66173.63,0.041355997,120.324326,0.52268517,0.29434052,34246.0,1342.0,26624.0,1133.0,1e-04
TNA,0,2022-06-11 14:23:31.907159,1.261622983833839,0.08973923325538635,0.08977730572223663,0.09575733542442322,0.09438442438840866,0.23752379417419434,0.6492065191268921,0.09070644527673721,110.76569366455078,0.09074052423238754,92.82185363769531,0.09679901599884033,182.5031280517578,0.09541089832782745,252.46751403808594,0.23895467817783356,259.7831726074219,0.5506792664527893,0.48563218116760254,3439.0,106.0,1638.0,37.0,0.9245706893779614,0.047021814,0.045880746,0.051233076,0.05060748,0.0532191,0.6766227,0.047017977,3311.8672,0.045876257,51058.105,0.051228963,213.98132,0.050603267,6620.4976,0.05321935,206.56096,0.5189695,0.4547325,21133.0,364.0,14636.0,317.0,1e-04
TWLO,0,2022-06-11 14:23:46.650318,0.7828860793794904,0.03597860038280487,0.03794196620583534,0.03934325650334358,0.03995894640684128,0.006608325056731701,0.7000645399093628,0.03151562064886093,17.05116081237793,0.03253786265850067,16.736759185791016,0.033621955662965775,18.620153427124023,0.03356635197997093,17.866558074951172,0.006376786157488823,192.2775421142578,0.43907687067985535,0.4135338366031647,1320.0,0.0,675.0,0.0,0.9402514096212696,0.06100353,0.06481512,0.06216614,0.06548996,0.03500358,0.6518095,0.061005767,26603.36,0.06481977,151.14558,0.06216162,56639.3,0.06548866,17602.104,0.03499566,365.5174,0.5436514,0.43736503,8989.0,91.0,4755.0,55.0,1e-04
TWTR,0,2022-06-11 14:24:09.808655,0.846480123086828,0.03829289227724075,0.03663897514343262,0.04355907440185547,0.04158928245306015,0.022729579359292984,0.6547574400901794,0.04021131247282028,59.154518127441406,0.038362398743629456,57.96375274658203,0.045675937086343765,40.758705139160156,0.04351004585623741,54.041717529296875,0.023440983146429062,1009.6817626953125,0.42331060767173767,0.2995169162750244,2238.0,28.0,692.0,147.0,0.9110582458527751,0.045582652,0.04977987,0.044565108,0.04833982,0.028233152,0.6993591,0.04431462,15559.289,0.0482844,38147.38,0.04344638,100709.445,0.04706639,21072.041,0.02788383,376.80014,0.52494794,0.2614108,10763.0,377.0,10333.0,217.0,1e-04
TXN,0,2022-06-11 14:25:17.581704,0.8745745404666623,0.039016205817461014,0.0390453040599823,0.040817391127347946,0.04236201196908951,0.04597670957446098,0.6663467884063721,0.03911840543150902,49.2182731628418,0.03916560113430023,55.46434020996094,0.04091726243495941,37.023712158203125,0.04249180853366852,33.49900817871094,0.04615073278546333,302.1193542480469,0.557536780834198,0.31622517108917236,5540.0,275.0,2975.0,270.0,0.8715629214758335,0.036007516,0.03644687,0.03830089,0.038925774,0.03471653,0.6871455,0.03601082,84444.26,0.036450278,93298.44,0.038304463,16697.592,0.03892928,11229.734,0.03472041,172.52895,0.53638905,0.35803932,32778.0,1826.0,27314.0,1427.0,1e-04
TZA,0,2022-06-11 14:25:56.589029,1.3584413603804577,0.148265540599823,0.21307578682899475,0.10931268334388733,0.15405091643333435,0.10551977157592773,0.6234753727912903,0.14986464381217957,27832.962890625,0.21538670361042023,386575.09375,0.11049896478652954,15468.466796875,0.15572616457939148,308.4315185546875,0.10217969119548798,229.21893310546875,0.633610188961029,0.1666666716337204,41.0,3678.0,24.0,1477.0,0.877635106971725,0.033851862,0.042288367,0.028662998,0.03653867,0.05627146,0.6800653,0.033834916,57812.727,0.042266585,148219.81,0.028647887,53939.02,0.036521703,79813.51,0.056291632,190.91095,0.50693464,0.118107,3581.0,17044.0,6236.0,9589.0,1e-04
USB,0,2022-06-11 14:27:04.650717,0.9284617083751603,0.049531903117895126,0.04803848639130592,0.054182738065719604,0.05307250842452049,0.03468373417854309,0.6872862577438354,0.04974372684955597,72.27188873291016,0.048245709389448166,125.52379608154297,0.05440631881356239,180.28921508789062,0.05330168455839157,219.1400604248047,0.034683581441640854,131.0485076904297,0.42517682909965515,0.2996688783168793,5025.0,143.0,3562.0,330.0,0.8893333773688629,0.036908567,0.036214773,0.040667366,0.040292475,0.046019204,0.68923753,0.03690802,8776.02,0.03621394,72624.945,0.040666312,11726.812,0.040291257,14896.629,0.046014458,241.29527,0.49589843,0.3116268,30019.0,4835.0,21620.0,6871.0,1e-04
V,0,2022-06-11 14:27:45.781194,0.8143708431428395,0.05571208521723747,0.048293326050043106,0.06202682480216026,0.05704997852444649,0.05343857780098915,0.5236644744873047,0.05776306986808777,68.2513427734375,0.04985284060239792,98.98507690429688,0.0643513947725296,128.3541259765625,0.05907141789793968,63.80562973022461,0.05529690906405449,167.5546417236328,0.6115385293960571,0.37057220935821533,4390.0,1.0,1112.0,2.0,0.8237504294508846,0.034908794,0.035319738,0.037507053,0.03780503,0.04680218,0.62946695,0.035139743,88.16542,0.035535257,46.687763,0.03777368,51.91905,0.038056012,38.317284,0.04708395,202.79819,0.55090326,0.4385965,25930.0,76.0,12341.0,128.0,1e-04
VER,0,2022-06-11 14:28:03.384776,0.882065050964114,0.045478854328393936,0.04235817492008209,0.051000408828258514,0.04987858980894089,0.04351670295000076,0.6500586867332458,0.04584719240665436,21.48174285888672,0.042695775628089905,19.085474014282227,0.05142314359545708,24.96179962158203,0.0502728708088398,22.655733108520508,0.04224126785993576,2498.24658203125,0.3470223546028137,0.1265822798013687,1634.0,0.0,729.0,7.0,1.0573679908462192,0.07685215,0.07405014,0.09361029,0.08600844,0.058666494,0.663967,0.07735596,133810.08,0.074483946,118471.94,0.094318695,342126.22,0.08657787,48112.844,0.05898508,172.5316,0.49681193,0.20199275,10371.0,68.0,6070.0,51.0,1e-04
VOD,0,2022-06-11 14:29:11.388809,0.9596695410494773,0.05190570279955864,0.053738366812467575,0.05258452892303467,0.05373320356011391,0.04471930116415024,0.7017672657966614,0.05218282341957092,143958.90625,0.054039038717746735,58252.92578125,0.05285067483782768,13122.388671875,0.05402406305074692,29147.466796875,0.044898830354213715,391.3944091796875,0.5707709193229675,0.2665562927722931,3565.0,528.0,4610.0,357.0,0.894156112367159,0.040017474,0.040723145,0.041132025,0.041701924,0.045519475,0.6850463,0.04002052,39417.773,0.04072643,10575.083,0.041135248,28973.135,0.041705202,30948.604,0.045519218,214.86716,0.54631317,0.3289131,34053.0,1516.0,26699.0,1077.0,1e-04
VZ,0,2022-06-11 14:30:19.090818,0.8875152085790571,0.03859232738614082,0.0412621945142746,0.03919424116611481,0.041623637080192566,0.03322261571884155,0.6930349469184875,0.03869708627462387,26676.291015625,0.04140046238899231,2908.718017578125,0.039297107607126236,77.27345275878906,0.04174448922276497,62.37656021118164,0.03328826650977135,157.2184600830078,0.46363165974617004,0.4602648913860321,4301.0,473.0,3474.0,812.0,0.9375022242850047,0.035985656,0.036308326,0.03936439,0.0386659,0.09595936,0.6911938,0.035988208,45397.797,0.036311034,93765.01,0.039367523,65213.543,0.03866877,7707.177,0.09597481,319.8644,0.5289666,0.29647171,28429.0,4957.0,25749.0,4210.0,1e-04
WBA,0,2022-06-11 14:31:26.665264,0.9248892534647556,0.04327993467450142,0.044690996408462524,0.04755738377571106,0.04827519878745079,0.052693065255880356,0.6867457032203674,0.04353911802172661,37546.40234375,0.044962503015995026,40148.50390625,0.04784050211310387,230.0621337890625,0.04856758192181587,332.1628723144531,0.052988436073064804,207.21701049804688,0.5468569397926331,0.38410595059394836,4774.0,215.0,3915.0,156.0,0.9217273669589506,0.041813344,0.042475976,0.044637788,0.04551933,0.064785466,0.68247724,0.04181561,20482.404,0.042477954,8532.616,0.044640392,64870.992,0.045521602,10016.918,0.064793736,266.02902,0.52111566,0.38337675,34760.0,1455.0,25640.0,1490.0,1e-04
WFC,0,2022-06-11 14:32:34.232291,0.8938896746824909,0.03898574039340019,0.039691802114248276,0.04055321589112282,0.04146895930171013,0.0433279387652874,0.6882583498954773,0.039166636765003204,110.66473388671875,0.03987739607691765,22287.37890625,0.040743663907051086,197.34376525878906,0.0416615828871727,98.31539916992188,0.04351506009697914,160.87582397460938,0.5537302494049072,0.4370861053466797,4809.0,43.0,4172.0,36.0,0.8654778489506473,0.03672879,0.036660857,0.038786806,0.039246816,0.039319247,0.6747408,0.03672821,106576.71,0.036660254,48596.316,0.038786247,85208.15,0.039246164,13923.382,0.03931951,166.21243,0.5244603,0.3596969,37136.0,425.0,25405.0,379.0,1e-04
WMT,0,2022-06-11 14:33:41.786890,0.8801718291067919,0.03924284130334854,0.041443806141614914,0.03954164683818817,0.0414569266140461,0.03538725897669792,0.68309485912323,0.03919660672545433,38.642269134521484,0.041421517729759216,201.26820373535156,0.03947491571307182,40.656558990478516,0.041404061019420624,39.662986755371094,0.03544458746910095,348.8682861328125,0.5270043611526489,0.44701987504959106,4387.0,939.0,2381.0,1353.0,0.8945673121650609,0.039256997,0.039889198,0.041906983,0.042901896,0.040755253,0.6898658,0.03925537,18849.543,0.039887577,37888.094,0.041905675,3583.7383,0.042900216,42773.87,0.040755626,145.79918,0.5405595,0.2817902,30350.0,3786.0,26326.0,2883.0,1e-04
WPM,0,2022-06-11 14:33:58.045536,0.8496589578994332,0.0197812058031559,0.02222038432955742,0.01825261488556862,0.02118387259542942,0.04653392359614372,0.7375128269195557,0.019521106034517288,89502.8671875,0.022013140842318535,66.01074981689453,0.01800869032740593,240.8008575439453,0.02098274976015091,67.98126983642578,0.042069826275110245,346.4190673828125,0.45407021045684814,0.19863013923168182,978.0,3.0,1206.0,3.0,0.8991349514792947,0.04523643,0.04379069,0.046611585,0.046660665,0.042859375,0.6739515,0.045224026,8318.034,0.043770697,13608.155,0.046589274,95.74077,0.04663369,73.512184,0.042829607,236.87698,0.54542196,0.42647058,8834.0,479.0,5452.0,535.0,1e-04
WU,0,2022-06-11 14:34:43.243830,0.8746827303194532,0.042399704456329346,0.03948310762643814,0.045804984867572784,0.04439312592148781,0.03555290773510933,0.6794334053993225,0.03951951861381531,118.57608795166016,0.03730905428528786,231.3536376953125,0.04247703403234482,83.51541137695312,0.04164189100265503,24173.68359375,0.03586551547050476,118.87581634521484,0.4800409972667694,0.47549018263816833,3601.0,75.0,2403.0,41.0,0.9309019884531867,0.044285826,0.04395277,0.04826339,0.04750498,0.06624828,0.6810497,0.043996148,127154.94,0.043788545,35487.684,0.04782866,80970.52,0.04721245,228892.61,0.066669255,203.58751,0.54239094,0.38857743,23759.0,710.0,17932.0,409.0,1e-04
XOM,0,2022-06-11 14:35:50.725906,0.9127699243311851,0.04858648031949997,0.04770651459693909,0.05436570942401886,0.05303589999675751,0.03528282046318054,0.6732203960418701,0.04883792623877525,21075.837890625,0.04795176535844803,68.06974792480469,0.05464363843202591,72602.1640625,0.05331602320075035,150.55987548828125,0.035352375358343124,218.63958740234375,0.5068378448486328,0.4602648913860321,5395.0,61.0,3575.0,29.0,0.8676367706098518,0.03686676,0.036383495,0.040834434,0.040304873,0.043186385,0.67005813,0.03686774,61.642998,0.03638418,109.45227,0.0408362,68.80566,0.040306073,83.93518,0.043188207,188.20694,0.54470164,0.36940563,37656.0,331.0,25133.0,225.0,1e-04
ZNGA,0,2022-06-11 14:36:19.806176,0.9190921976016118,0.04842369258403778,0.04963245615363121,0.04892392456531525,0.05105622857809067,0.0344906784594059,0.6595900058746338,0.0530858114361763,25.410608291625977,0.05412491783499718,21.47579002380371,0.05361843481659889,49.75617599487305,0.055994413793087006,26.695646286010742,0.036978550255298615,191.78350830078125,0.622856616973877,0.4115384519100189,2343.0,19.0,1475.0,63.0,0.8837109981002388,0.03846669,0.041784402,0.03844351,0.041293345,0.03954512,0.68428683,0.038446657,349278.28,0.041757725,621145.94,0.038424775,942604.2,0.0412699,432081.4,0.039544363,232.37508,0.5653544,0.3664835,14818.0,325.0,11957.0,200.0,1e-04
