Saved Metrics:
Look Back = 120
Prediction Length = 15
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
INTC,0,2022-06-12 13:39:38.327318,0.9596136374189365,0.05733658745884895,0.05867980793118477,0.05709129199385643,0.060713667422533035,0.03708811104297638,0.6870626211166382,0.057654354721307755,81.67137145996094,0.05901586636900902,23976.240234375,0.057406242936849594,299.20452880859375,0.06105726212263107,34519.3046875,0.03715307265520096,161.97604370117188,0.48726335167884827,0.27649006247520447,4178.0,796.0,2639.0,1447.0,0.9106002079824993,0.04291508,0.044035327,0.044467907,0.04663758,0.042866047,0.6896388,0.042923417,50026.844,0.044044044,78924.91,0.044476442,66359.18,0.046647,27104.594,0.042870507,198.4121,0.5357485,0.18261488,30753.0,3120.0,27213.0,2244.0,1e-04
JD,0,2022-06-12 13:39:58.982530,0.8197720249493917,0.03184979781508446,0.03437046334147453,0.029684869572520256,0.033116381615400314,0.02596268057823181,0.6647878289222717,0.03184979781508446,13.776774406433105,0.03437046334147453,13.736592292785645,0.029684869572520256,14.308009147644043,0.033116381615400314,13.921642303466797,0.02596268057823181,138.6698455810547,0.4646172821521759,0.5833333134651184,1811.0,0.0,1069.0,0.0,0.8569609812162455,0.034047306,0.035166018,0.035350606,0.035693776,0.041418873,0.6752011,0.03407048,199536.48,0.035190284,108.90114,0.03537369,28504.896,0.035717126,19423.572,0.041497637,581.25006,0.56017345,0.32038835,11456.0,730.0,7240.0,659.0,1e-04
JPM,0,2022-06-12 13:41:04.637770,0.9288008627512597,0.049208227545022964,0.048586223274469376,0.05305986478924751,0.05209925025701523,0.03290749341249466,0.6921632885932922,0.04935494437813759,70.98915100097656,0.04872952774167061,43.212158203125,0.05320269986987114,74.52841186523438,0.05225937068462372,64.99114990234375,0.03294562175869942,94.70603942871094,0.5048308372497559,0.1705297976732254,4324.0,368.0,3877.0,491.0,0.8965090876899585,0.039852265,0.040158525,0.04324335,0.043101035,0.043839075,0.68628836,0.03985768,3939.5051,0.040165205,3694.342,0.043249607,47566.75,0.043107953,34054.652,0.043840546,353.78546,0.52454615,0.29441023,34238.0,958.0,27425.0,709.0,1e-04
KHC,0,2022-06-12 13:41:21.843961,0.8540595054626465,0.03441222384572029,0.0355827696621418,0.036398470401763916,0.03743213042616844,0.020644132047891617,0.68958979845047,0.03441222384572029,22.666223526000977,0.0355827696621418,21.708600997924805,0.036398470401763916,25.15447425842285,0.03743213042616844,23.691822052001953,0.020644132047891617,130.45785522460938,0.4454284608364105,0.4375,1239.0,58.0,824.0,279.0,0.9607337570361033,0.043322653,0.044322133,0.04549131,0.046750598,0.090067565,0.6907414,0.043325964,38704.42,0.04432164,55857.703,0.045496643,4539.7905,0.04675249,39003.035,0.09010772,283.01233,0.5455728,0.13148479,7610.0,1266.0,6906.0,988.0,1e-04
KO,0,2022-06-12 13:42:27.355129,0.878238261140735,0.044983480125665665,0.045724499970674515,0.04989935830235481,0.04961589351296425,0.04331003129482269,0.6440063118934631,0.044937144964933395,174.39964294433594,0.045651569962501526,50.487518310546875,0.049891840666532516,81.11802673339844,0.04960331693291664,157.38206481933594,0.04356645420193672,2945.11083984375,0.4061831533908844,0.22516556084156036,6424.0,13.0,2588.0,35.0,0.8891578057771156,0.038630906,0.039366715,0.041658122,0.042555317,0.04439963,0.68255985,0.038632214,163622.34,0.039368693,23346.797,0.04165944,14719.612,0.042557154,23555.55,0.04438283,34728.355,0.5225921,0.33514923,35604.0,492.0,26682.0,552.0,1e-04
KR,0,2022-06-12 13:43:32.432748,0.9880686354952932,0.04960703104734421,0.051389168947935104,0.05146833881735802,0.052381426095962524,0.0899561420083046,0.6927224397659302,0.049641698598861694,8655.8193359375,0.05140950158238411,60357.90625,0.05151285231113434,139366.34375,0.05241086333990097,38556.7734375,0.09041312336921692,163.81016540527344,0.4868137836456299,0.16721853613853455,4603.0,164.0,4096.0,197.0,0.9013669840649144,0.0415554,0.042150006,0.044097606,0.04461217,0.043326493,0.68561137,0.041559618,69088.09,0.0421546,98345.016,0.04410118,186023.36,0.044616356,232233.9,0.04331866,199.72545,0.5119099,0.23022264,34910.0,599.0,27286.0,535.0,1e-04
MRK,0,2022-06-12 13:44:37.614535,0.9851227118479495,0.06417445838451385,0.06473185122013092,0.06805726885795593,0.06882906705141068,0.04177738353610039,0.6767977476119995,0.06431322544813156,137802.65625,0.0648445412516594,60.15666580200195,0.0682191327214241,102162.96875,0.0689835473895073,57.966758728027344,0.04162565991282463,125.31932830810547,0.5243563652038574,0.2781457006931305,5484.0,102.0,3375.0,99.0,1.0156266802241598,0.053411532,0.055119034,0.05708122,0.05768964,0.1065438,0.6857411,0.053415548,1841.6428,0.055124324,5566.2407,0.057084505,44353.89,0.057693478,14450.085,0.10657338,270.4127,0.54496163,0.23993368,33512.0,1388.0,27402.0,1028.0,1e-04
MSFT,0,2022-06-12 13:45:42.836143,0.8387271438213374,0.031816937029361725,0.03010714054107666,0.03360620141029358,0.03256094083189964,0.03797741234302521,0.6720086932182312,0.03191102668642998,19.743118286132812,0.030196111649274826,16.358482360839844,0.033695634454488754,73.24658203125,0.03265960142016411,20.96747398376465,0.03814354166388512,533.3098754882812,0.41103246808052063,0.5844370722770691,6670.0,28.0,2192.0,170.0,0.9088206834445233,0.04352798,0.04461279,0.04573179,0.04749827,0.040136628,0.68724966,0.04353896,89086.83,0.044624466,137232.31,0.04574335,23398.482,0.047510557,90406.35,0.04014838,325.87363,0.54125607,0.25627664,32234.0,2625.0,26490.0,1981.0,1e-04
MU,0,2022-06-12 13:46:47.953230,0.9069918323036851,0.0439397394657135,0.04596582427620888,0.043615616858005524,0.04669593647122383,0.0414423830807209,0.6869261860847473,0.04353765770792961,74.79995727539062,0.04552783444523811,92.59789276123047,0.043234050273895264,5579.44140625,0.04626123607158661,13238.830078125,0.04134218767285347,254.65553283691406,0.5554463267326355,0.374172180891037,4546.0,395.0,3865.0,254.0,0.8804820624079991,0.03600778,0.037315752,0.037159655,0.038911406,0.04024165,0.69082195,0.036013164,134010.38,0.037321996,127997.74,0.037165,130969.77,0.038917493,142702.31,0.040242445,188.534,0.5341347,0.26148745,30124.0,3170.0,27738.0,2298.0,1e-04
NWSA,0,2022-06-12 13:47:11.294470,1.1664374169953373,0.11013291031122208,0.10020866245031357,0.12410653382539749,0.11353566497564316,0.044791024178266525,0.6747685670852661,0.10987627506256104,299120.8125,0.09941760450601578,103.73444366455078,0.12429241091012955,82.26667022705078,0.11328954249620438,82.20987701416016,0.045232050120830536,161.38063049316406,0.6427243947982788,0.38532111048698425,1906.0,213.0,1031.0,120.0,0.9201926504869017,0.046996906,0.046943832,0.049141895,0.05059895,0.036659375,0.6893933,0.047142405,47524.13,0.047107138,82.492134,0.04926127,112309.49,0.050739117,37318.105,0.036688942,224.87508,0.5372355,0.22849639,10529.0,1618.0,9303.0,1395.0,1e-04
